,base_market,quote_market,hedge_ratio,half_life
0,SNX-USD,XTZ-USD,2.939041557660566,2.0
1,SNX-USD,ICP-USD,0.623867010236684,2.0
2,SNX-USD,ETC-USD,0.12754563891685633,2.0
3,SNX-USD,ZEC-USD,0.0762404614687307,2.0
4,SNX-USD,LINK-USD,0.24315298514377148,3.0
5,SNX-USD,MKR-USD,0.001368823200214248,2.0
6,SNX-USD,ATOM-USD,0.2932477741036617,2.0
7,SNX-USD,BCH-USD,0.00849759906942191,2.0
8,SNX-USD,CELO-USD,4.582140454916991,2.0
9,SNX-USD,ENJ-USD,8.988785319832067,2.0
10,SNX-USD,RUNE-USD,1.1413226071514717,2.0
11,SNX-USD,FIL-USD,0.5886381002520044,2.0
12,SNX-USD,ZRX-USD,8.925834086647686,3.0
13,SNX-USD,TRX-USD,21.974120761558083,2.0
14,SNX-USD,YFI-USD,0.0003731511592685972,2.0
15,SNX-USD,COMP-USD,0.04664158565738436,2.0
16,SNX-USD,XLM-USD,18.188030557772997,2.0
17,SNX-USD,EOS-USD,3.5298610054079362,2.0
18,SNX-USD,NEAR-USD,1.8829794543504543,2.0
19,SNX-USD,ALGO-USD,20.55243530416931,2.0
20,SNX-USD,XMR-USD,0.012598900378451053,2.0
21,SNX-USD,SUSHI-USD,3.5113135371766333,2.0
22,SNX-USD,ADA-USD,7.689394664473761,2.0
23,SNX-USD,UMA-USD,1.4208627394164846,6.0
24,SNX-USD,BTC-USD,6.788654059579574e-05,2.0
25,SNX-USD,DOT-USD,0.5092212547590226,2.0
26,SNX-USD,CRV-USD,4.407120705421965,2.0
27,SNX-USD,SOL-USD,0.07810880843036293,3.0
28,SNX-USD,DOGE-USD,32.34851106854541,2.0
29,SNX-USD,LTC-USD,0.030675578020389893,2.0
30,SNX-USD,AAVE-USD,0.02874095365569038,2.0
31,SNX-USD,UNI-USD,0.47352217906689326,2.0
32,SNX-USD,MATIC-USD,3.5896734776971173,2.0
33,SNX-USD,1INCH-USD,7.6921166701799315,2.0
34,SNX-USD,AVAX-USD,0.20527682613483073,2.0
35,SNX-USD,ETH-USD,0.0012134276436016247,2.0
36,XTZ-USD,ZEC-USD,0.025934371903938942,5.0
37,XTZ-USD,ATOM-USD,0.09976162765481122,6.0
38,XTZ-USD,ENJ-USD,3.0575946654517976,11.0
39,XTZ-USD,YFI-USD,0.00012683792252728908,17.0
40,XTZ-USD,NEAR-USD,0.6403559943316421,11.0
41,XTZ-USD,DOT-USD,0.17309865849900594,18.0
42,XTZ-USD,CRV-USD,1.4989492759757566,12.0
43,XTZ-USD,UNI-USD,0.16106771393926142,14.0
44,XTZ-USD,AVAX-USD,0.0697724575460186,15.0
45,ETC-USD,SUSHI-USD,27.526217131487467,8.0
46,ETC-USD,DOGE-USD,253.5866351377432,8.0
47,ETC-USD,ETH-USD,0.00951122562540162,15.0
48,ZEC-USD,ENJ-USD,117.87301160302975,5.0
49,ZEC-USD,DOGE-USD,424.0719720587288,3.0
50,MKR-USD,DOGE-USD,23617.67291839685,14.0
51,ATOM-USD,ALGO-USD,70.11191798754132,9.0
52,CELO-USD,FIL-USD,0.12840226641993166,17.0
53,CELO-USD,ADA-USD,1.6776862890336546,4.0
54,CELO-USD,DOGE-USD,7.059340912575504,5.0
55,ENJ-USD,NEAR-USD,0.20939268722609494,6.0
56,FIL-USD,ADA-USD,13.060706087670221,14.0
57,FIL-USD,ETH-USD,0.002061352931523006,15.0
58,YFI-USD,COMP-USD,124.9666482113952,5.0
59,YFI-USD,NEAR-USD,5046.945108944324,15.0
60,YFI-USD,DOT-USD,1364.5844274535573,6.0
61,COMP-USD,DOT-USD,10.918955353121508,4.0
62,COMP-USD,LTC-USD,0.6578630421525482,9.0
63,COMP-USD,AVAX-USD,4.40109356958785,6.0
64,EOS-USD,SUSHI-USD,0.9943340078160664,13.0
65,EOS-USD,DOGE-USD,9.160036509968585,20.0
66,NEAR-USD,DOT-USD,0.2703215986557527,11.0
67,NEAR-USD,AVAX-USD,0.1089581293816737,14.0
68,SUSHI-USD,ADA-USD,2.1892656233044616,8.0
69,SUSHI-USD,DOGE-USD,9.211769308788886,11.0
70,ADA-USD,DOT-USD,0.06621716000832382,8.0
71,ADA-USD,LTC-USD,0.00398994543236955,6.0
72,UMA-USD,BTC-USD,4.531814990457723e-05,14.0
73,UMA-USD,DOT-USD,0.3383480677245334,15.0
74,UMA-USD,CRV-USD,2.927954742029974,15.0
75,UMA-USD,SOL-USD,0.052141900045596865,16.0
76,UMA-USD,DOGE-USD,21.547470022375173,14.0
77,UMA-USD,LTC-USD,0.02041511365037653,14.0
78,UMA-USD,AAVE-USD,0.01911700558446224,16.0
79,UMA-USD,UNI-USD,0.31464074344629944,15.0
80,UMA-USD,MATIC-USD,2.384981468860996,15.0
81,UMA-USD,1INCH-USD,5.125991709438584,14.0
82,UMA-USD,AVAX-USD,0.13630913247686746,15.0
83,UMA-USD,ETH-USD,0.0008080424182858962,14.0
84,DOT-USD,LTC-USD,0.060247110233297395,9.0
85,DOT-USD,AVAX-USD,0.40305161100917747,6.0
86,LTC-USD,AVAX-USD,6.688884703305927,11.0
87,LTC-USD,ETH-USD,0.03955069742804299,11.0
